id,name,department,salary
149,Matthew Miller,Sales,122091.31
150,James Gibson,Finance,32871.55
151,Jordan Arroyo,Marketing,56658.92
152,Troy Perez,IT,68905.61
153,James Carson,Operations,87435.79
154,Scott Berry,IT,127668.52
155,Gary Miller,IT,135681.18
156,Alyssa Nguyen MD,Operations,131482.75
157,Kathy Faulkner,Support,75528.66
158,Arthur Morris,Marketing,99212.21
159,Kellie Flores,Finance,39246.02
160,Cassandra Davis,Support,82583.40
161,Mrs. Anna Morrison DVM,Support,125417.27
162,Dr. Brandon Sloan,Sales,104522.47
163,Samantha Mendoza,Research,142469.51
164,Heather Sanders,Operations,31309.15
165,Martin Flores,Marketing,115736.66
166,Kathleen West,Support,89039.34
167,Thomas Flores,Research,99546.21
168,Lori Curry,Finance,75725.23
169,Teresa Wood,Marketing,80861.38
170,Brittany Molina,Research,31148.99
171,Kim Harvey,Research,33690.81
172,Kristy Freeman,Sales,90756.22
173,Joseph Walton,Sales,56048.93
174,Mrs. Lauren Delgado,Finance,129601.91
175,Susan Johnson,Operations,76731.94
176,Brian Pierce,Sales,70028.09
177,Cindy Greene,Research,72560.42
178,Nancy Curtis,Finance,140511.40
179,Christopher Sanchez,Sales,100831.35
180,Taylor Rose,Research,144158.07
181,James Miranda,Research,135849.72
182,Melissa Proctor DDS,HR,100123.22
183,Ryan Frank,Support,91156.35
184,Amanda Delgado,Finance,129017.61
185,Ebony Richardson,Finance,60080.37
186,Brandon Meadows,IT,103343.47
187,Erin Dean,Operations,34350.94
188,Cameron Frazier,Research,92931.56
189,April Dominguez,IT,69381.58
190,Shari Stanley,Research,36244.91
191,Keith Hernandez,IT,74620.11
192,Jason Snow,Operations,108778.96
193,Tina Holland,Operations,141395.21
194,Amy Miller,Operations,138833.40
195,Kelsey White,Operations,104268.98
196,Monica Lopez,Research,108696.79
197,Brenda Barker,Operations,65123.97
198,Donna Best,Support,129699.88
199,Tricia Rowe,Marketing,119545.02
200,Kelly Perez,IT,68871.54
201,John Reed,IT,75672.54
202,Jonathan Nicholson,IT,140402.76
203,Carolyn Newton,Finance,83602.64
204,Michael Hoffman,Finance,61296.97
205,Mary Rodriguez,IT,65053.60
206,Mitchell Foley,HR,143449.05
207,Laura Willis,Marketing,118511.14
208,Aaron Rogers,Operations,117241.50
209,Mary Hall,IT,92451.35
210,Johnny Freeman,IT,102236.57
211,William Foley,Sales,73643.14
212,Maria Fry,Finance,68096.94
213,Dr. Melissa Thompson DDS,Sales,74142.58
214,Brett Peterson,HR,110713.52
215,Sean Brewer,IT,82095.32
216,Jennifer Johnson,Support,129976.39
217,Kyle Edwards,Finance,104871.08
218,Rhonda Romero,Operations,72497.75
219,Shannon Moreno DDS,HR,92736.50
220,Nathan Scott,Finance,120383.80
221,Karen Campbell,Marketing,96137.07
222,Diane Gutierrez,HR,128620.10
223,Lori Carey,Support,79367.17
224,Nicole Hickman,Sales,104057.07
225,Jeffery Robinson,Support,92597.72
226,Zachary Carter,Finance,38045.61
227,Theresa Perez,Finance,75457.65
228,Daniel Howard,Sales,96709.57
229,Tammy Sloan,Marketing,111430.86
230,Christine Gonzalez,Sales,68319.57
231,Donna Mckenzie,IT,100379.52
232,Meghan James,Marketing,143314.39
233,Rebecca Perez,Marketing,65253.47
234,Christina Jenkins,HR,35727.04
235,Laura Olson,Operations,112968.85
236,Stephanie Griffin,Operations,113966.19
237,Edward Anderson,Operations,138679.90
238,Kelly Mccall,IT,76819.72
239,Robert Daniels,Finance,95497.19
240,Jeffrey Patterson,Operations,49111.93
241,Victoria Fisher,Research,130244.98
242,Devin Fletcher,Research,46797.12
243,Jonathan Keith,Support,95080.44
244,Jillian Griffin,Finance,123572.66
245,Laura Rodriguez,Sales,43690.28
246,Elizabeth Parker,Finance,58182.49
247,Katherine Waller,Research,58276.39
248,Emily Ramsey,Marketing,48715.21
249,Kyle Jones,Marketing,81982.16
250,Holly Monroe,IT,148726.12
251,Angela Brown,Operations,64703.54
252,Eric Nguyen,IT,93445.90
253,Megan King,Support,74929.79
254,Kari Garrett,HR,118279.28
255,Kayla Jackson MD,HR,95268.39
256,Marissa Cruz,Support,142209.18
257,George Smith,Operations,88056.85
258,Juan George,Operations,116154.43
259,Patricia Morgan,Research,118260.05
260,Rebecca Henderson,Support,79970.47
261,Stuart Hood,Finance,64359.96
262,Abigail White,Sales,54727.05
263,Christopher Phillips,Support,123059.51
264,Jessica Newman,Sales,86221.31
265,William Holland,Research,61691.47
266,Jacob Miller,Finance,63015.38
267,Matthew Gibson,Operations,86240.02
268,Laura Lewis,Marketing,138410.38
269,Joy Williams,Finance,149162.25
270,Heather Walker,Finance,93270.48
271,Michael Jackson,Support,113155.08
272,Daniel Grant,HR,89184.02
273,Erin Tran,Support,52008.56
274,Kim Weber,Sales,69415.53
275,Johnny Wilson,Finance,109514.05
276,Ronald Smith,Marketing,125885.14
277,Francisco Wheeler,IT,101998.21
278,Paul Delgado,Finance,115651.55
279,Sharon Washington,Operations,31493.94
280,Troy Newman,Support,41705.62
281,Felicia Barton,Support,36563.51
282,Blake Duran,Finance,92684.65
283,Kim Brown,HR,62513.37
284,George Jones,Sales,83871.30
285,Adrian Martin,Sales,87388.29
286,Joseph Johnson,Support,148421.66
287,Rodney Pitts,Marketing,144169.36
288,Jessica Choi,HR,130719.42
289,Clayton Gordon,Marketing,79487.90
290,Richard Vasquez MD,Finance,64349.73
291,Cheryl Robinson,Operations,103211.83
292,Amy Christensen,IT,52334.90
293,Roy Olson,Finance,53824.94
294,Kelsey Oconnor,IT,115625.92
295,Lori Murray,Support,131691.44
296,Laura Coleman,HR,50557.29
297,Crystal Hicks,Sales,53632.93
298,Amy Schmidt,Operations,62154.61
299,Dale Garza,IT,65651.63
300,Dwayne Collins,Marketing,129604.16
301,Edward Fisher,Marketing,131439.48
302,Edward Mcintosh,Finance,75090.08
303,Colin Ross,IT,100383.23
304,Richard Williams,Finance,143528.28
305,Michael Stanley,HR,91552.12
306,Ashley Williams,HR,51163.21
307,Anita Mejia,Finance,124592.20
308,Brian Tanner,Marketing,100000.33
309,Sharon Foley,Marketing,149287.76
310,Lauren Vincent,Support,148652.27
311,Stacy Brown,Operations,61430.89
312,Tracy Swanson,Research,76424.54
313,Alyssa Moran,Marketing,144502.90
314,Melanie Williams,HR,75899.64
315,April White,Research,99927.88
316,Daniel Dickson,Support,126080.35
317,Joy Carpenter,Marketing,67925.11
318,Colin Brock,Marketing,129806.43
319,Christopher Hooper,HR,74651.53
320,Megan Christensen,Support,113106.82
321,Luis Martinez,Marketing,57854.87
322,Jon Brown,Support,145696.39
323,Lisa Robinson,Operations,96907.15
324,Jorge Walker,Research,99693.73
325,Kristin Young,Support,58055.91
326,Luke Knox,Research,75280.27
327,Thomas Gonzales,Research,62552.18
328,Shane Thompson,HR,102308.07
329,Danielle Shelton,Finance,38799.82
330,Ian Parks,Support,119833.68
331,Richard Mckee,Support,143238.79
332,Hannah Green,Marketing,75172.11
333,Victoria Montgomery,Finance,127720.77
334,Barbara Stone,IT,81627.27
335,Kelli Neal,Marketing,73895.33
336,Tyler Munoz,Sales,50744.24
337,Scott Williams,HR,50515.76
338,Robin Dean,HR,48158.87
339,Alexandria Brown,IT,135366.39
340,Norma Decker,Operations,112443.52
341,Brian Young,Finance,68704.02
342,Kimberly Mcguire,HR,41316.36
343,Nicole Gallegos,Research,43923.19
344,John Moreno,Marketing,74121.03
345,Jeremy Lee,Operations,85183.69
346,Teresa Mcmahon,IT,93910.90
347,Kyle Owens,HR,95214.00
348,Phillip Delgado,Support,129908.72
349,Jose Miranda,Finance,65316.24
350,Dylan Preston,Sales,147368.40
351,Rachel Crawford,Support,131987.45
352,Tyrone Schneider,Finance,53336.10
353,Dana Mclean,IT,91417.43
354,Jonathan Peters,Research,40925.00
355,Melinda Velasquez,Research,70219.56
356,Karen Brock,Marketing,38867.22
357,Denise Ford,HR,118940.55
358,Sean Watson,IT,105900.26
359,Mark Saunders,Support,63241.57
360,Dr. Nancy Watkins DDS,Sales,109418.07
361,David Whitaker,Finance,142570.69
362,Jo Anderson,Operations,30455.47
363,Jamie Jones,Support,64077.58
364,Ann Molina,IT,50170.66
365,James Kelley,Sales,146375.45
366,Lindsey Mcbride,Support,148000.16
367,Kenneth Freeman,IT,78177.53
368,Carla Andrews,IT,56916.29
369,Brandi Wilson,IT,133094.22
370,Jorge Barber,Research,77093.85
371,Cynthia Smith,Finance,37638.01
372,Matthew Hamilton,IT,146504.62
373,Amanda Williams,IT,50129.67
374,David Frost,Sales,37134.90
375,Christopher Jones,IT,73717.68
376,Rose Santos,Operations,72209.83
377,Joel Rice,Finance,76712.89
378,Alicia Jenkins,Support,55614.09
379,Linda Lewis,Operations,132543.73
380,Meghan Glover,IT,120903.01
381,Mrs. Dominique Perry,Finance,67340.17
382,Christine Edwards,Research,47383.92
383,Jeremy Henry,Sales,128074.42
384,Laura Riggs,HR,133072.07
385,Melissa Orozco,Finance,64355.74
386,Michelle Martinez,Support,100595.27
387,Deborah Morton,Support,83090.90
388,Christopher Davis,Finance,144064.37
389,James Cardenas,Sales,82133.31
390,Amanda Hanson,Sales,85997.72
391,Rodney Bradford,HR,49805.77
392,Andrea Young,IT,52950.52
393,Joe Miller,Sales,113558.56
394,Paul Mcdaniel,Sales,102465.45
395,Jacob Washington,Research,110406.33
396,Marc Scott,HR,60436.09
397,Ruben Lawrence,Finance,95239.64
398,William Hart,Sales,45993.75
399,Kelly Neal,HR,128939.76
400,Rebecca Hopkins,HR,145749.96
401,Stephen Ramos,Finance,136494.48
402,Jacob Davis,Finance,67255.58
403,Sandra Ward,Finance,136381.71
404,Douglas Barrett Jr.,Support,58563.32
405,Mary Anderson,Support,98181.18
406,Omar Kramer,Marketing,131671.50
407,Theodore Terrell,Operations,60149.35
408,Samuel Whitaker,Marketing,139748.37
409,Vicki Sutton,Support,140623.57
410,Sarah Prince,Research,99810.77
411,Michelle Butler,Marketing,89482.99
412,Mary Todd,Support,48963.49
413,Catherine Sanders,Research,141186.82
414,Dawn Serrano,Sales,148349.95
415,James Wilson,Sales,101635.33
416,Brenda Serrano,Operations,109533.36
417,Richard Obrien,Sales,58865.66
418,Shannon Berry,Research,48040.91
419,David Hernandez,Sales,103796.69
420,Jason Ray,Marketing,79979.84
421,Travis Hernandez,Finance,147125.65
422,Christopher Dunn,Marketing,100372.12
423,Melinda White,Support,41999.73
424,Heather Whitaker,Operations,148950.84
425,Brandon Torres,Research,65182.93
426,Denise Howard,HR,58096.60
427,Douglas Morgan,HR,62117.28
428,Pamela Dixon,Sales,101467.07
429,Scott Rivera,Sales,68964.29
430,Mrs. Teresa Bowman DVM,Finance,135850.97
431,Mary Wagner,Finance,102095.34
432,Daniel Barton,Research,127931.01
433,Christopher Shelton,Operations,137783.77
434,Jonathan Caldwell,HR,123493.71
435,Alexandra Cruz,Marketing,89503.39
436,Michael Lewis,HR,43116.44
437,Amber Mccoy,Operations,143843.20
438,John Kline,Support,39464.13
439,Nancy Reed,Marketing,96927.11
440,Fred Reynolds,Finance,115803.52
441,Nathan Oneill,Finance,145217.32
442,Rhonda Banks,IT,80115.38
443,Vincent Brown,Operations,74307.16
444,Brenda Sampson DDS,Finance,144481.72
445,Edwin Marshall,Marketing,96631.30
446,Brandon Crane,IT,103914.54
447,Dennis Walker,IT,56459.29
448,Lisa Smith,Finance,72319.67
449,Jody Gregory,Research,37477.31
450,Tanya Johnson,Research,97030.71
451,Billy Thomas,IT,76275.41
452,Danielle Nguyen,Sales,133710.10
453,Daniel Allen,HR,70043.49
454,Lisa Johnson,HR,148653.08
455,Harold Johnson DDS,IT,104033.43
456,David Dean,Support,100495.39
457,Sharon Williams,Operations,89498.96
458,Lindsey Little,Operations,80979.80
459,Melinda Luna,Support,112209.73
460,Kristin Anderson,Operations,88898.36
461,Bobby Snyder,HR,51375.70
462,Billy Young,HR,48234.88
463,Brandon Gonzalez,HR,41381.97
464,Joshua Woods,IT,42018.38
465,Karen Park,IT,75926.24
466,Monique James,HR,59425.52
467,Pamela Newton,Marketing,44339.56
468,Christopher Diaz,Operations,68815.65
469,Brian West,IT,52723.10
470,Shawn Duke,Finance,100410.29
471,Kim Sullivan,Operations,107209.67
472,Michael Johnson,Sales,69455.79
473,Francisco Evans,Operations,36987.07
474,Andrew Hoffman,Research,137389.92
475,Jessica Lloyd,HR,55281.81
476,Christina Oliver,IT,54474.54
477,Helen Dawson,Research,52396.40
478,Jessica Stone,Support,45743.35
479,Elizabeth Clay,HR,102260.54
480,Daniel Thomas,IT,93429.08
481,Dennis Ford,Operations,87450.15
482,Kimberly Ford,Marketing,94320.16
483,Albert Taylor,Research,76637.29
484,Jermaine Bauer MD,HR,94597.07
485,Daniel Allen,Support,37867.05
486,Chloe Padilla,Support,124347.67
487,Ronald Diaz,Operations,38562.13
488,Kelly Gonzalez DVM,IT,37494.21
489,Kimberly Martinez,IT,105651.25
490,Jacob Brown,IT,94438.20
491,Mary Mccann,Support,137086.76
492,Susan Miller,IT,65413.47
493,April Baker,Operations,115545.71
494,Barbara Harris,Marketing,119061.27
495,Tina Young,Sales,51020.41
496,Beverly Jenkins,IT,130288.54
497,Michele Jones,Finance,146724.99
498,Christina Sawyer,Research,43366.98
499,Kimberly Benitez,Support,138222.58
500,Shane Vasquez,Support,90014.34
501,Haley Dillon,Operations,134800.80
502,Brenda Molina,Sales,123402.35
503,Melissa Nunez,Operations,80858.44
504,Perry Moore,HR,129398.97
505,Michael Ayers,Marketing,82498.01
506,James Howell,IT,95682.65
507,Barbara Aguirre,Operations,56465.63
508,Brenda Rodgers,Research,81827.20
509,Richard Jones,Finance,82236.68
510,Jill Evans,Research,47546.78
511,Samantha Taylor,Research,31163.52
512,Anthony Ortega,Support,75804.01
513,Leslie Anderson,Research,59650.83
514,Steven Thomas,Operations,32996.41
515,Benjamin Huff,Operations,128602.24
516,Andrew Black,HR,77125.53
517,Alison Blair,Marketing,132775.84
518,Richard Whitehead,Research,130178.87
519,Monica Scott,Operations,145151.81
520,Christopher Anderson,HR,46438.40
521,Elizabeth Thompson,IT,139535.71
522,Laura Williams,Sales,129347.31
523,Brittney Sanchez,HR,84023.79
524,Mariah Pham,Sales,112326.55
525,Deborah Lee,Sales,128003.76
526,Sharon Ramirez DDS,Research,64663.20
527,Jonathan Reed,Marketing,97169.06
528,Kayla Osborne,Research,133406.78
529,Theresa Gonzalez,Research,73469.81
530,Katherine Mathis,HR,118223.03
531,Bryan Peterson,Sales,126224.20
532,Donna Gutierrez,Marketing,71172.16
533,Christina Walters,Finance,144770.84
534,Gloria Fuller,Finance,147924.07
535,Kelli Thompson,Research,59216.21
536,Kristin Howard,Finance,65894.31
537,Chad Davis,Sales,73987.64
538,Dr. Derek Bean,Marketing,124557.28
539,Jaime Pearson,Sales,87371.34
540,Haley Bowen,HR,50655.28
541,Andrew Scott,Marketing,120758.90
542,Zachary Miller,Sales,146995.89
543,Katelyn Medina,Sales,89118.10
544,Melvin Bailey,HR,119233.37
545,Felicia Donaldson,HR,124203.55
546,Ruth Morrow,Finance,89412.99
547,Nicole Duran,Marketing,122906.14
548,Alexis Lewis,Operations,71758.64
549,Mark Harper,IT,91489.77
550,James White,HR,51600.43
551,David Freeman,IT,133267.06
552,Nicole Cooper,Operations,80263.14
553,Jeffrey Beck,Operations,119679.15
554,John Mcknight,Sales,63353.23
555,Kristen Martin,Support,112049.80
556,Alyssa Stark,Sales,76979.23
557,Devon Garcia,Support,101638.61
558,Gregg Cervantes,Research,47923.71
559,Alex Schroeder,IT,145293.21
560,John Hall,Marketing,95156.10
561,Jamie Rodgers,Operations,34898.99
562,Nathan Andersen,Support,80515.94
563,Mr. Christopher Evans DDS,IT,53631.23
564,Matthew Santiago,Research,30618.13
565,Nicholas Patterson,Sales,136662.13
566,Charles Hansen,Sales,73819.25
567,Cathy Moore,Research,96696.40
568,Johnny Johnson,IT,108755.87
569,Matthew Johnson,HR,81183.73
570,Priscilla Love,IT,76733.36
571,Melissa Tucker,Sales,109163.65
572,Christopher Ochoa,Research,122042.95
573,Craig Daniels,Operations,86058.25
574,Eric Robertson,Operations,77886.52
575,Lisa Fox,Sales,119162.55
576,Michael Daugherty,Research,32089.92
577,Kelly Perez,Operations,127038.94
578,Michael Simpson,HR,119136.94
579,Cynthia Martin,IT,43209.69
580,Joseph Roberts,Operations,37945.19
581,Thomas Hall,Research,80705.13
582,Jennifer Rose,HR,113349.26
583,Andrew Edwards,IT,101553.69
584,Danny Gallegos,Sales,107580.08
585,David Steele,Support,45833.78
586,Patrick Goodwin,Sales,102183.69
587,John Hatfield,IT,51656.34
588,Patricia Williams,Support,70907.10
589,Danielle Weber,Operations,37776.02
590,Patricia Myers,IT,149022.64
591,Madeline Jones,Research,56195.52
592,Jeffrey Myers,Finance,92064.68
593,Jennifer Mitchell,Finance,48620.95
594,Nathan Weber,HR,102596.99
595,William Johnson,Finance,69999.74
596,Beth Rhodes,HR,67585.51
597,Erik Melendez,Sales,68776.59
598,Megan Edwards,Sales,53116.37
599,Tim Jones,Sales,119455.83
600,Lori Wolf,Sales,33675.14
601,Margaret Newman,Sales,141571.39
602,Brett Collins,Sales,128652.83
603,Michael Clark,Marketing,129109.17
604,Julia Padilla,IT,45342.24
605,William Wilkinson,Research,123884.21
606,Jonathan Mullins,Marketing,117212.16
607,Joseph Rivera,Research,36251.70
608,Derek Francis,HR,90267.61
609,Gordon Scott,Sales,35021.07
610,Joshua Russell,HR,124496.06
611,Taylor Mercado,Marketing,105027.41
612,Shelly Williams,Operations,114325.03
613,Jasmine Chase,IT,50948.89
614,Susan Castaneda,Marketing,117427.10
615,Jacob Hunter,Marketing,136071.55
616,Timothy Haney,Marketing,47064.64
617,Jessica Blevins,Marketing,117229.40
618,Teresa Jackson,IT,108705.00
619,Michael Miller,Operations,31859.71
620,Amy Bennett,Research,100851.64
621,Wendy Jackson,Operations,132013.32
622,Anthony Olson,HR,65434.18
623,Melissa Juarez,Finance,91064.26
624,Thomas Anderson,Support,127920.39
625,Cassie Long,Marketing,73622.32
626,Wendy Palmer,IT,123724.62
627,Shawn Graves,Finance,73377.02
628,Joseph Sharp,Support,136085.76
629,Nathaniel Hernandez,Support,96101.56
630,Rebecca Mendoza,HR,118734.90
631,Brianna Zimmerman,Marketing,50796.21
632,Vincent Santana,Research,115258.58
633,Elizabeth Santana,Finance,36562.13
634,Andrew Villa,Sales,57306.83
635,Christopher Mason,Operations,109665.72
636,Brandon Ryan,Operations,67957.47
637,Paige Wilson,Finance,33389.67
638,Gregory Burton,Marketing,145361.61
639,Charles Nguyen,Finance,72071.93
640,Marc Payne,HR,94783.23
641,Billy Scott,Research,145264.90
642,Anthony Macias,Operations,106963.16
643,Tiffany Butler,Support,143903.50
644,Jennifer Lamb PhD,Marketing,122921.77
645,Kayla Butler,Sales,139939.35
646,Robyn Hester,Support,133559.97
647,Haley Green,Support,79890.75
648,Andrea Rollins,HR,38195.24
649,Michael Bailey,Finance,107814.82
650,Kathy Fields,Finance,131466.70
651,Jonathan Bell,Research,62458.51
652,Timothy Hopkins,Finance,41244.39
653,Marc Russell,Marketing,133522.87
654,Derek Williams IV,IT,141288.60
655,Benjamin Mccullough,Finance,58492.89
656,Crystal Lam,HR,124283.59
657,Brett Smith,Operations,132054.87
658,Paul Smith,Finance,123726.21
659,Katherine Chavez,Research,73997.90
660,Lance Jones,IT,86841.73
661,Toni Harris,Marketing,58643.61
662,Emily Nelson,IT,94862.67
663,Stephanie Guzman,HR,52469.02
664,Donald Fowler,IT,136379.79
665,Sean Wood,Finance,60999.47
666,Tina Cole,Sales,103625.82
667,Susan Cook,HR,82351.47
668,Jody Ball,Sales,128021.70
669,Robert Crawford,Sales,109009.67
670,James Gonzales,HR,102357.54
671,Jeffrey Long,Sales,41103.95
672,Erika Turner,Marketing,133203.95
673,Hannah Massey,Operations,38717.61
674,Ms. Jill Christensen MD,IT,139437.78
675,Bryan Green,Operations,59440.01
676,Brian Richardson MD,Sales,110327.10
677,Kara Goodwin,Research,132405.02
678,Christopher Gould,HR,104120.46
679,Linda Wright,Sales,118403.04
680,Bridget Davis,HR,125287.47
681,Theresa Diaz,Research,107135.58
682,Mrs. Melissa Austin,Research,83085.12
683,Sara Nunez,Support,135492.98
684,Christopher Wright,Operations,88194.51
685,Dustin Hayes,Research,116928.91
686,Justin Fletcher,Sales,44727.53
687,Debra Williams,Finance,76046.96
688,Jacqueline Gonzalez,HR,128161.88
689,Sandra Williams,Marketing,126794.54
690,Sarah Byrd,Finance,33523.50
691,Kathleen Fleming,Finance,121764.16
692,Jason Ortega,Operations,39269.93
693,James Bryant,Support,146361.13
694,Crystal Bauer,Marketing,94872.63
695,Janice Cruz,Research,130009.29
696,Christopher Lane,Marketing,122348.19
697,Jennifer Clarke,Support,81708.59
698,Jessica Rivera,HR,57856.75
699,Samuel Cantrell,Marketing,147179.27
700,Dr. Maria Robinson,Finance,132798.96
701,Garrett Freeman,Finance,59841.05
702,Christopher Lewis,Marketing,139595.36
703,Justin Harris,Finance,44103.06
704,Michael Williams,Sales,88420.70
705,Katherine Morrison,IT,126077.95
706,Natalie Brown,Operations,148701.62
707,Mary Jones,HR,119934.85
708,Daniel Stewart,Operations,102748.52
709,Christopher Hunter,Sales,55836.98
710,Kyle Graham,IT,142946.31
711,Anthony Osborn,IT,117713.19
712,Richard Hicks,Sales,84898.13
713,Jason Lewis,Support,124149.92
714,Curtis Stein,Sales,119920.57
715,Tony Dyer,Finance,73770.24
716,Paul Kelly Jr.,IT,143394.07
717,Keith Taylor,HR,62743.31
718,Melissa Poole,IT,109298.20
719,Marcus Giles DDS,Operations,32279.31
720,Mr. Peter Archer,Marketing,149616.58
721,Julie White,Support,143819.08
722,Steve Harris,Marketing,44596.52
723,Wendy Pierce,Marketing,43447.54
724,Deborah Robinson,Operations,141197.11
725,Samuel Harrington,Operations,108237.73
726,Natasha Travis,Finance,99219.59
727,Amber Hartman,Finance,59678.45
728,Martha Campbell,Operations,106298.98
729,Daniel Wright,Finance,83016.71
730,Ryan Harris,HR,43596.38
731,Ronald Garcia,Operations,40027.07
732,James House,Research,64886.58
